Tempo Médio de Serviço,Tempo Médio de Fila,Tempo Médio no Sistema,Tempo Médio de Inatividade
8.138399352046982,3218.6701452151633,3226.808544567211,0.004032302598661971
7.99603454254948,3041.7029879149945,3049.699022457549,0.009504663758716305
7.942337580589604,2931.1591849989304,2939.1015225795213,0.002495758825005203
7.8138901859387255,2890.696679406294,2898.510569592235,0.004275786052965996
8.131683700991903,3023.6803112378475,3031.811994938841,0.004003444318535792
8.128668942273837,3081.5495108310433,3089.6781797733156,0.004553094088918015
7.419101545838726,2710.755764473786,2718.1748660196263,0.0010383675789324574
7.780303465709796,2910.80013576676,2918.5804392324676,5.781607659508934E-4
8.120290142165615,3047.8318118141183,3055.952101956281,0.0010903476538229229
8.124305802474591,2931.7341107118546,2939.858416514329,6.193455436926771E-4
7.752400668654742,2810.581272067314,2818.3336727359683,0.0011437148236162463
7.877328369419776,2924.048968556607,2931.926296926027,0.005734889210526531
7.931981883460955,2875.157519373332,2883.0895012567944,0.0012549173917811175
8.580422317582197,3245.8537900019055,3254.4342123194892,0.0032641238321722728
8.231018018516552,3268.885582616584,3277.116600635097,0.007275232320380281
8.178594822773135,3083.86904282334,3092.047637646113,7.48243952830413E-4
8.155858778503113,3046.5442740444423,3054.700132822945,0.004297848885329726
7.957568291797581,3039.019343756139,3046.9769120479377,7.931227287000977E-4
7.794376675573971,2881.4180285678262,2889.2124052433996,8.445807869653098E-6
7.981019832777233,3111.590028436291,3119.571048269069,0.0014342527953877344
8.439042469822027,3226.3862468204957,3234.8252892903174,3.934243188697091E-5
8.060446840557276,3032.457831435119,3040.5182782756783,0.00425385471379123
8.172885855786905,3271.7597875192814,3279.9326733750695,1.0260343097773946E-4
8.18120251242228,3126.101705964996,3134.2829084774194,0.006889967113862282
8.021802195701495,3013.7464333483163,3021.7682355440215,0.0017014976161492921
7.583204036407521,2772.82111810834,2780.404322144746,0.0010858679132861632
7.655667006924925,2697.8380586870903,2705.4937256940198,0.005223417470170427
7.956948352028095,2952.7904199075715,2960.7473682596005,0.0011391140776828197
8.390296825700387,3106.3865557495296,3114.776852575226,2.3546682380275308E-4
7.688600109618726,2756.6650481269785,2764.353648236591,2.701073872114559E-4
7.7099069585111595,2904.5594201727895,2912.269327131302,0.004395986259073405
8.059875122293262,3109.9186006604778,3117.9784757827783,0.007178792351282785
7.793489871052049,2831.6188542722844,2839.4123441433394,0.0021097016327359095
7.69584070937931,2846.7436291654403,2854.439469874822,0.005318395878794028
8.071294155269118,3155.066336236883,3163.1376303921543,3.4124689456690934E-4
7.7324816955999385,2942.3458242099664,2950.078305905569,3.777862043777227E-4
7.988237895444385,3090.6459053302915,3098.634143225736,3.669253663021683E-5
7.913247084124619,2954.3906237054953,2962.303870789619,0.001557741319964665
8.343915970818509,3059.4318005108366,3067.7757164816544,0.002477729002439761
8.108665354731038,2978.3038120504734,2986.4124774052034,9.986843672541854E-5
7.691104732121664,2803.657578774958,2811.348683507083,0.0016253980593114359
8.351020816907052,3227.8186035370823,3236.169624353989,0.010463580138433745
8.192075380265022,3266.138767843712,3274.330843223976,5.310168042145119E-4
7.953524959159768,2873.1452446525764,2881.0987696117354,0.0016954192236519887
8.129048175502048,3091.3602687048015,3099.489316880307,0.0027004340896397746
8.25690380470957,3034.456544602107,3042.713448406812,1.6510520969316105E-4
8.190737406913719,3098.9145593385483,3107.105296745461,0.008909454337456837
7.895161223117734,2941.721505464391,2949.6166666875106,0.002869601763186123
8.019345266408758,3048.6710970111744,3056.6904422775806,0.00295108192328943
7.600460580210985,2809.840529982716,2817.4409905629273,0.00208783915770874
8.071293308351333,2897.756494691491,2905.827787999842,3.381655548973152E-4
8.20075975941022,2961.101028490774,2969.301788250183,0.0021764904259896243
7.710400993747854,2842.368665715886,2850.079066709633,8.311399818275758E-4
7.864323481625688,2787.556623182666,2795.420946664288,0.003974570843236652
8.559936709675622,3305.989030826304,3314.5489675359786,0.0024687746785650596
7.867740649750434,3030.4004860783657,3038.268226728117,0.004478507099954102
7.762396677787171,2876.7879009579547,2884.550297635743,5.276290311733025E-4
7.996624711087101,3046.8670656651943,3054.8636903762826,0.0010253012428127742
8.047215038703303,2992.670094318827,3000.717309357528,0.0036219144902663756
8.096404989851571,3117.7217210492654,3125.818126039119,5.677732353149916E-4
8.131247590408368,3020.7108112975643,3028.8420588879744,0.006697931189834906
8.234906296893643,3087.7786164085715,3096.0135227054634,6.087424632723409E-4
7.6836821535018345,2904.7654782822506,2912.4491604357536,0.001129944214899121
7.80579304342378,2890.586930574622,2898.392723618047,0.005729398974681856
8.028091564944193,2978.9115721706357,2986.93966373558,0.0061809652202254395
8.230326615077736,3169.6658349753425,3177.8961615904204,0.003224624077590989
8.05838321099745,3101.822949784303,3109.8813329952955,0.014577128443038599
7.992382876157372,2945.717204296372,2953.709587172527,9.651492208491346E-4
8.076382519311242,3018.5071442831572,3026.583526802474,0.0012979429121868016
7.566243973317919,2732.0302757768422,2739.5965197501623,0.003383889807950639
7.977147126373169,3135.3539278763674,3143.3310750027367,7.8155992920073E-4
8.040477914311218,3041.5404881226923,3049.580966037008,0.008615291673864007
7.6884951189259585,2893.0588148333795,2900.747309952307,8.739115504201041E-4
8.000746513270043,3108.1778562494087,3116.178602762675,0.003315340747841802
8.117794288031472,3052.2968222992613,3060.4146165872935,9.440964300676744E-5
7.931064819758233,3005.520944212765,3013.452009032526,0.001613707074380294
8.624643493474252,3236.796023968271,3245.4206674617453,0.004454250355993493
8.312859114904649,3190.33910953951,3198.6519686544193,0.006194357542576764
8.037976623577334,2955.7292451867593,2963.767221810334,0.0027637574832048944
8.030310113642075,2914.8320290882607,2922.8623392019012,0.001072488583098613
8.18982779700288,3133.7557648120905,3141.9455926090923,1.9280595340965878E-4
8.267687494636668,3108.8501368630423,3117.1178243576783,0.0011253750016569693
8.071655752789226,2999.339879569146,3007.411535321939,0.0019079800060321866
8.295010889644333,3227.9402509975225,3236.2352618871655,0.006124599035673581
8.155821257728473,2984.2468208208907,2992.4026420786213,0.0012355340359888995
8.667586232612956,3310.1194445528504,3318.787030785465,0.001988850522580345
7.988772863086838,2863.852908813726,2871.8416816768117,0.006914583312061838
7.877501541526709,3046.516356281479,3054.3938578230045,0.002485373286340039
8.233732091924411,3135.853418046373,3144.087150138295,0.004099466309192471
8.106322551390505,2855.5121090736952,2863.6184316250838,3.320147199136028E-4
8.275519448842804,3113.901811422111,3122.1773308709558,0.013843708406744992
8.18887178117248,2999.8214609381944,3008.010332719369,0.002349617804127396
8.089737436404327,3002.5193930096693,3010.6091304460774,4.4317452594541527E-4
8.345959550494026,3185.4156566503643,3193.7616162008553,0.007174551290494726
7.954079907716223,3000.7627869499643,3008.716866857677,0.00245098541061326
8.41480130524367,3244.573839837026,3252.9886411422717,0.0026778046898685566
8.247735064151586,3115.372949955351,3123.6206850195003,0.004192722146469559
7.934798791373534,2898.8558066249325,2906.7906054163072,5.608780667676224E-4
7.496544981745745,2774.6217011821227,2782.1182461638646,1.899448737166394E-4
8.617008676514025,3438.8318665535853,3447.4488752301004,2.2380149062591601E-4
7.8987656435500035,3009.2140499214765,3017.1128155650267,0.003177365766317659
8.041301711750066,3063.589195163826,3071.630496875578,2.582388508148216E-4
7.292334283463222,2664.5359494017025,2671.828283685169,0.003198717754000618
8.110028203933297,2943.1634110142045,2951.2734392181383,7.294343926888901E-4
7.825635624395561,2903.2454203864586,2911.071056010861,0.005159002354448843
8.063177525758505,3190.7704137879173,3198.833591313668,7.738883684253618E-4
8.046011196818828,3036.170005094274,3044.216016291095,0.003712826394023889
7.968744524730761,3068.3016144370154,3076.2703589617445,8.658781702525988E-4
8.134668093601427,3177.4140732009123,3185.548741294511,0.0023412179055078823
8.127470388276013,3265.4776270620287,3273.6050974503073,0.003918458917132735
8.065707177304432,3000.3400705905924,3008.4057777678977,0.004147666594668242
7.89485081362815,2919.6992448573374,2927.5940956709633,0.0025484400672663252
7.862709568220629,2833.3754784713637,2841.238188039586,0.006366776909965069
7.946830934478432,3061.8831625720663,3069.829993506549,0.0010636184963566642
8.158564036478039,3138.758590508892,3146.9171545453714,0.0029061080276514906
8.346098867214966,3198.8725792893038,3207.218678156521,0.006016419590162175
7.464206538000564,2709.032268019472,2716.4964745574703,0.0012259123524064773
7.514868344117507,2701.1714831365202,2708.6863514806373,0.0031858893534435794
7.947956357003705,2987.066194147037,2995.014150504042,0.009885838093459982
8.167777352475282,3120.2314719063206,3128.399249258797,7.256936158465142E-4
7.899695087111456,3005.172690679529,3013.0723857666444,0.00647717599523414
8.102747650039804,3224.5958686806666,3232.6986163307065,7.70063594791874E-4
7.965472074475645,3084.8826234108155,3092.8480954852944,0.008932145902883559
7.827953229648049,2747.549539966718,2755.3774931963617,0.004995234704533007
7.926341935840001,2993.2557886044315,3001.1821305402714,0.0038226805765436997
7.944986727424797,2994.2313358480096,3002.176322575433,0.004127089141538762
7.669845190221544,2762.0445031022637,2769.7143482924835,8.62492871818629E-5
8.198880164859762,3022.2402065902897,3030.4390867551533,0.0010080111995427157
7.854706866585722,2850.6879745000997,2858.542681366683,0.0016653013127032842
8.066722083355739,2961.09581598518,2969.1625380685296,0.0011117261762828969
